order_product_id,product_id,order_id,quantity,price
0,51605,0,3,3592000.0
1,115541,0,2,2395000.0
2,229758,0,2,2412000.0
3,87139,1,3,1013000.0
4,227953,1,3,526000.0
5,98219,1,1,612000.0
6,53640,2,3,1956000.0
7,165796,3,3,7639900.0
8,179905,4,1,8191000.0
9,147925,5,3,2651000.0
10,166804,5,3,612000.0
11,59186,6,1,2058000.0
12,374254,6,2,13710000.0
13,23970,7,2,2507000.0
14,58683,8,3,499700.0
15,215514,9,1,908000.0
16,134553,10,3,576000.0
17,212848,10,2,2698000.0
18,23883,11,1,1998000.0
19,225448,11,3,636000.0
20,171397,11,2,1630000.0
21,236501,12,2,2988000.0
22,377520,12,3,7500000.0
23,236561,13,2,3564000.0
24,177337,13,3,526000.0
25,269383,13,1,693000.0
26,24409,14,3,2021000.0
27,378859,14,2,12281000.0
28,252991,15,1,642000.0
29,221237,15,1,3881700.0
30,287103,15,1,7915000.0
31,266206,16,3,1113000.0
32,125526,16,1,2480000.0
33,165249,16,3,7566000.0
34,267032,17,3,2239000.0
35,127005,17,2,2779000.0
36,236369,18,1,2005000.0
37,162796,18,3,8632000.0
38,53064,19,2,2282000.0
39,89383,20,1,585000.0
40,23828,20,1,1469650.0
41,224499,20,3,654000.0
42,41535,21,3,2759000.0
43,239529,21,2,1440000.0
44,190583,22,3,526000.0
45,378778,22,2,12766000.0
46,171238,22,1,671000.0
47,25917,23,2,6259000.0
48,87640,23,1,602000.0
49,159758,23,3,624600.0
50,212073,24,1,2371000.0
51,87550,24,3,705000.0
52,102693,24,1,756900.0
53,241127,25,2,1894000.0
54,257759,25,1,1644000.0
55,151161,26,1,1555000.0
56,20989,27,3,2511000.0
57,149695,27,2,1630000.0
58,52682,28,3,2282000.0
59,230519,29,3,999000.0
60,150892,30,3,526000.0
61,238833,31,1,9200000.0
62,201314,31,2,1794000.0
63,227232,32,2,1117000.0
64,157609,32,1,762000.0
65,23730,33,3,1996000.0
66,197487,34,1,2314000.0
67,221780,34,1,986400.0
68,167261,35,3,882000.0
69,89080,36,1,993000.0
70,219252,36,3,636000.0
71,109528,36,2,3112000.0
72,168132,37,2,793000.0
73,265923,38,1,909000.0
74,207278,38,2,1969000.0
75,181492,39,1,4023000.0
76,165240,40,3,6972300.0
77,187662,40,1,873000.0
