ward_id,ward_name,ward_name_en,type,district_id_id,province_id_id
31732,Phường 1,1,ward,948,94
31783,Phường 1,1,ward,950,94
31825,Phường 1,1,ward,954,95
31942,Phường 1,1,ward,959,95
32005,Phường 1,1,ward,964,96
31513,Phường 1,1,ward,941,94
29239,Phường 1,1,ward,842,84
29512,Phường 1,1,ward,851,84
29548,Phường 1,1,ward,855,86
29866,Phường 1,1,ward,866,87
29905,Phường 1,1,ward,867,87
25456,Phường 1,1,ward,703,72
24784,Phường 1,1,ward,672,68
24823,Phường 1,1,ward,673,68
27694,Phường 1,1,ward,794,80
27787,Phường 1,1,ward,795,80
28261,Phường 1,1,ward,815,82
28303,Phường 1,1,ward,816,82
28435,Phường 1,1,ward,817,82
22015,Phường 1,1,ward,555,54
26506,Phường 1,1,ward,747,77
26896,Phường 1,1,ward,764,79
26944,Phường 1,1,ward,765,79
26977,Phường 1,1,ward,766,79
27058,Phường 1,1,ward,768,79
27160,Phường 1,1,ward,770,79
27184,Phường 1,1,ward,771,79
27247,Phường 1,1,ward,772,79
27298,Phường 1,1,ward,773,79
27325,Phường 1,1,ward,774,79
27370,Phường 1,1,ward,775,79
27394,Phường 1,1,ward,776,79
19333,Phường 1,1,ward,461,45
19357,Phường 1,1,ward,462,45
26536,Phường 10,10,ward,747,77
26884,Phường 10,10,ward,764,79
26992,Phường 10,10,ward,766,79
27070,Phường 10,10,ward,768,79
27145,Phường 10,10,ward,770,79
27178,Phường 10,10,ward,771,79
27223,Phường 10,10,ward,772,79
27271,Phường 10,10,ward,773,79
27340,Phường 10,10,ward,774,79
27385,Phường 10,10,ward,775,79
27406,Phường 10,10,ward,776,79
31525,Phường 10,10,ward,941,94
24796,Phường 10,10,ward,672,68
28276,Phường 10,10,ward,815,82
26539,Phường 11,11,ward,747,77
26899,Phường 11,11,ward,764,79
26908,Phường 11,11,ward,765,79
26983,Phường 11,11,ward,766,79
27073,Phường 11,11,ward,768,79
27133,Phường 11,11,ward,770,79
