review_id,review_content,review_rating,review_date,product_id,customer_id
659509,"не так полно листьев, как на фото, но мне удалось подогнать их все к щели в заборе, которую я хотел лучше скрыть, и это работает отлично",5,2024-09-12 00:41:23,181353,3
659511,"Я не знаю, то ли я не понял размеры, то ли вам дали ложную рекламу. Я хотел украсить стену во внутреннем дворике, но она слишком мала.",1,2024-10-02 00:41:23,181353,3
659512,A l'air sympa mais taille incorrecte selon les deux mesures données dans l'annonce. Demander un remboursement/retour.,3,2024-10-24 00:41:23,181353,5
659513,非常漂亮我喜欢我会要求更多,5,2024-08-02 00:41:23,181353,4
1202493,"निराश हूं, कीमत उचित नहीं है।",3,2024-08-23 07:12:18,193266,3
1699741,"Je suis déçu de ce produit, il ne vaut pas son prix.",3,2024-08-12 07:12:18,193266,4
1789133,"Produk ini murah tetapi mempunyai kualiti yang rendah, yang membuatkan saya tidak berpuas hati.",4,2024-09-27 07:12:18,193266,4
1789165,सस्ती कीमत आकर्षित करती है लेकिन निम्न गुणवत्ता मुझे असंतुष्ट बनाती है।,3,2024-09-16 07:12:18,193266,5
1789195,"Des prix abordables constituent un avantage, mais la mauvaise qualité des produits doit être rapidement améliorée pour ne pas affecter la confiance des clients.",3,2024-09-22 03:48:51,193266,3
1789226,"The product price is suitable for the majority of consumers, quite reasonable.",3,2024-10-09 07:12:18,193266,5
1789274,이 제품은 가격은 경쟁력이 있지만 품질이 특별히 뛰어난 것은 아닙니다.,4,2024-10-24 07:12:18,193266,5
1789294,이 제품의 가격은 제공하는 품질이 좋지 않습니다.,4,2024-08-25 07:12:18,193266,5
1789338,Este precio realmente supera mis expectativas sobre el valor que ofrece el producto; vale la pena comprarlo.,4,2024-10-11 07:12:18,193266,4
1789416,该产品价格低廉，但质量同样较低。,4,2024-09-08 07:12:18,193266,3
1789445,उम्मीदों पर खरा नहीं उतरा.,4,2024-09-24 07:12:18,193266,4
1789486,Dieses Produkt ist preisgünstig und eine Investition wert.,4,2024-10-02 05:45:37,193266,4
1789527,"너무 비싸지도, 그렇다고 저렴하지도 않은 적당한 가격으로 가격과 품질의 균형을 원하는 소비자에게 적합한 제품입니다.",4,2024-08-18 07:12:18,193266,3
1789581,ราคานี้ไม่ได้เน้นผลิตภัณฑ์นี้ในกลุ่มของตน แต่เพียงพอที่จะรักษาตำแหน่งเฉลี่ยในตลาดได้,3,2024-08-03 07:12:18,193266,3
1789606,"המחיר של המוצר הזה לא הופך אותו למצטיין, רק מספיק כדי לשמור על מיקום בינוני בפלח.",3,2024-08-08 07:12:18,193266,4
1789637,המוצר במחיר נמוך אך אינו עומד בציפיות לגבי איכות.,3,2024-08-02 07:12:18,193266,4
1789677,"Este precio es relativamente razonable, aunque el producto no es sobresaliente.",4,2024-10-21 07:12:18,193266,5
1789730,Ucuz fiyat çekici ama ürün kalitesinin düşük olması beni tatminsiz bırakıyor.,3,2024-10-20 07:12:18,193266,5
1789773,이 제품의 가격은 해당 제품이 제공하는 가치를 정확하게 반영합니다.,4,2024-10-11 08:34:11,193266,4
1789812,"El precio de este producto es mediocre, no especialmente atractivo en comparación con la calidad que ofrece.",4,2024-08-17 07:12:18,193266,3
1789849,이 제품의 가격은 평균으로 간주되며 제공된 품질에 적합하지만 사용자에게 완전한 만족을 가져다주지는 않습니다.,4,2024-10-08 06:11:35,193266,5
1789883,"Harga produk ini berpatutan, walaupun beberapa ciri asas perlu dipertingkatkan untuk meningkatkan pengalaman pengguna.",4,2024-10-16 07:12:18,193266,3
1789917,"Этот продукт, хотя и дешевый, требует значительного улучшения качества для достижения более высокого уровня удовлетворенности клиентов.",4,2024-08-30 07:12:18,193266,3
1789955,该产品价格合理，但不便宜；它只能满足基本需求。,4,2024-10-18 07:12:18,193266,3
1789987,产品价格天高，但质量却很差。,3,2024-08-15 04:09:29,193266,3
402109,品質が良くありません。  薄い合板にプリントされています。印刷もかなり濃いので屋外ではあまり長持ちしません,1,2024-09-04 02:17:03,174133,4
12707,適合受領製品,5,2024-09-22 07:09:15,243083,4
788231,هذا المنتج متوسط ​​السعر، مما يوفر خيارًا معقولًا لأولئك الذين لا يريدون إنفاق الكثير.,4,2024-09-28 04:11:34,222353,3
845801,저렴한 가격만으로는 이 제품의 낮은 품질을 보상하기에는 부족합니다.,5,2024-09-20 04:11:34,222353,3
1237374,"यह कीमत उत्पाद को विशेष रूप से आकर्षक विकल्प नहीं बनाती, बस पर्याप्त है।",4,2024-08-18 12:54:09,222353,3
2331343,Pas comme prévu.,3,2024-10-18 04:11:34,222353,5
2429461,Produk memerlukan banyak penambahbaikan untuk berbaloi dengan wang.,3,2024-09-09 04:11:34,222353,5
2429488,Chất lượng sản phẩm không biện minh cho giá cả.,4,2024-09-29 04:11:34,222353,4
2429555,Mức giá này có thể chấp nhận được nhưng không tạo ra sự khác biệt đáng kể so với các lựa chọn cạnh tranh.,4,2024-09-01 04:11:34,222353,5
2429576,Questo prezzo è davvero ragionevole; Sono soddisfatto di questo prezzo rispetto alla qualità ricevuta.,4,2024-09-27 04:11:34,222353,5
2429675,"Der Preis dieses Produkts ist äußerst angemessen, ein früher Kauf ist kein Verlust.",3,2024-10-30 04:11:34,222353,4
2429704,"Bu ürün verdiğim paraya değmiyor, kalitesi çok düşük.",4,2024-09-11 04:11:34,222353,5
2429739,"Dieses Produkt hat einen durchschnittlichen Preis, ist nicht teuer, aber es mangelt an ansprechenden Funktionen.",3,2024-09-28 04:11:34,222353,4
2429775,"This product is too expensive, I don't think I will buy it again.",4,2024-09-02 04:11:34,222353,3
2429809,Harga ini boleh dilihat sebagai sederhana tetapi tidak benar-benar menawarkan perasaan mendapat tawaran yang sebenar.,4,2024-08-24 04:11:34,222353,5
2429831,이 제품은 저렴하지만 품질이 기대만큼 좋지 않아 품질 업그레이드가 필요합니다.,4,2024-09-02 04:11:34,222353,4
2429846,"Der Preis dieses Produkts ist konkurrenzfähig, aber die Qualität ist nur durchschnittlich und reicht nicht aus, um einen signifikanten Unterschied zu machen.",4,2024-08-18 04:11:34,222353,4
2429881,이 제품의 가격은 유사한 제품과 비교했을 때 상대적으로 적절합니다.,4,2024-10-28 04:11:34,222353,3
2429935,この製品の価格は平均的ですが、ユーザーのニーズに応えるためには品質の向上が必要です。,3,2024-11-01 04:11:34,222353,4
2429966,"המוצר מתומחר טוב מאוד, מתאים לתקציב שחשבתי, בהחלט שווה את הכסף.",4,2024-09-07 04:11:34,222353,5
